 latitude  |  longitude  |       speed        
 45.558183 | -122.565298 |              8.948
 45.558388 | -122.565102 |             11.185
 45.558588 | -122.564802 |             13.422
 45.558712 | -122.564588 |              6.711
 45.558732 | -122.564557 |                  0
 45.558725 | -122.564223 |              4.474
 45.558667 | -122.564198 |              2.237
 45.558647 |  -122.56419 |                  0
  45.55862 | -122.564173 |                  0
 45.558457 | -122.564042 |              8.948
 45.558413 |  -122.56368 |             11.185
 45.558627 | -122.563157 |              22.37
 45.558873 | -122.562532 |              22.37
 45.559077 | -122.562022 |             17.896
 45.559327 |  -122.56173 |             13.422
 45.559513 | -122.561573 |              8.948
 45.559577 | -122.561513 |              2.237
 45.559578 | -122.561508 |                  0
 45.559578 | -122.561508 |                  0
 45.559578 | -122.561508 |                  0
 45.559582 | -122.561498 |                  0
 45.559688 | -122.561393 |              6.711
 45.560008 | -122.561102 |             17.896
  45.56053 | -122.560905 |             26.844
 45.561265 | -122.560895 |             35.792
   45.5621 | -122.560703 |             38.029
 45.562833 | -122.560038 |             42.503
 45.563522 | -122.559205 |             42.503
 45.564238 | -122.558323 |              44.74
 45.564968 |  -122.55737 | 46.977000000000004
 45.565723 | -122.556367 |             49.214
 45.566503 | -122.555338 |             51.451
 45.567287 | -122.554302 |             51.451
  45.56808 | -122.553258 |             51.451
 45.568882 | -122.552197 |             53.688
  45.56968 | -122.551148 |             53.688
 45.570478 | -122.550108 |             51.451
  45.57129 | -122.549103 |             51.451
 45.572142 | -122.548135 |             53.688
 45.573057 | -122.547217 |             53.688
 45.574033 |  -122.54638 | 55.925000000000004
 45.575072 | -122.545632 | 55.925000000000004
 45.576177 | -122.544965 | 58.162000000000006
 45.577332 |  -122.54438 |             60.399
 45.578505 | -122.543948 | 58.162000000000006
 45.579687 |  -122.54365 | 58.162000000000006
 45.580875 | -122.543485 | 58.162000000000006
 45.582068 | -122.543448 | 58.162000000000006
 45.583257 | -122.543537 | 58.162000000000006
 45.584425 | -122.543752 | 58.162000000000006
 45.585587 |  -122.54409 | 58.162000000000006
 45.586727 | -122.544553 | 58.162000000000006
 45.587832 | -122.545123 | 55.925000000000004
 45.588907 |  -122.54576 | 55.925000000000004
 45.589968 | -122.546417 | 55.925000000000004
 45.591023 |  -122.54707 | 55.925000000000004
 45.592068 |  -122.54771 | 55.925000000000004
 45.593118 | -122.548293 | 55.925000000000004
 45.594172 | -122.548823 |             53.688
 45.595222 | -122.549283 |             53.688
 45.596267 | -122.549688 |             53.688
 45.597312 | -122.550047 |             51.451
 45.598375 | -122.550348 |             53.688
  45.59945 |   -122.5506 |             53.688
 45.600523 | -122.550798 |             51.451
 45.601588 | -122.550965 |             51.451
 45.602623 | -122.551117 |             49.214
  45.60358 |  -122.55122 | 46.977000000000004
 45.604425 | -122.551307 | 40.266000000000005
  45.60515 | -122.551328 |             33.555
 45.605608 | -122.550763 |             31.318
  45.60545 | -122.549893 |             31.318
 45.604803 | -122.549275 |             38.029
 45.603977 | -122.548893 |             42.503
 45.603145 | -122.548592 | 40.266000000000005
 45.602442 | -122.547938 | 40.266000000000005
 45.602118 | -122.546747 |              44.74
   45.6018 | -122.543713 |             51.451
 45.601452 | -122.542143 | 55.925000000000004
 45.601092 | -122.540537 | 58.162000000000006
 45.600738 | -122.538945 | 55.925000000000004
 45.600365 | -122.537395 | 55.925000000000004
 45.599995 |  -122.53586 | 55.925000000000004
 45.599632 | -122.534338 | 55.925000000000004
 45.599265 | -122.532815 |             53.688
   45.5989 | -122.531287 | 55.925000000000004
 45.598532 |  -122.52974 | 55.925000000000004
 45.598155 | -122.528163 | 55.925000000000004
  45.59778 | -122.526597 | 55.925000000000004
 45.597408 | -122.525043 | 55.925000000000004
 45.597017 | -122.523515 | 55.925000000000004
 45.596603 |  -122.52201 | 55.925000000000004
 45.596195 |  -122.52051 |             53.688
 45.595785 | -122.519008 | 55.925000000000004
 45.595377 |  -122.51751 |             53.688
 45.594882 | -122.515707 | 55.925000000000004
  45.59447 | -122.514203 | 55.925000000000004
 45.594058 |   -122.5127 |             53.688
 45.593635 | -122.511228 |             53.688
 45.593192 |   -122.5098 |             53.688
 45.592765 |  -122.50844 |             49.214
 45.592353 | -122.507205 | 46.977000000000004
 45.591853 | -122.506148 |             42.503
 45.599188 | -122.532468 | 55.925000000000004
 45.598807 | -122.530872 | 58.162000000000006
 45.598422 | -122.529255 | 58.162000000000006
 45.598038 | -122.527653 | 58.162000000000006
 45.597662 | -122.526068 | 58.162000000000006
 45.597285 | -122.524515 | 55.925000000000004
  45.59689 | -122.523013 |             53.688
  45.59648 | -122.521537 |             53.688
 45.596083 | -122.520077 |             53.688
 45.595687 | -122.518633 |             53.688
 45.595298 |  -122.51721 |             51.451
 45.594932 | -122.515878 |             49.214
 45.594557 | -122.514508 |             49.214
  45.59416 |  -122.51307 |             53.688
 45.593757 | -122.511627 |             51.451
  45.59332 | -122.510223 |             51.451
 45.592895 | -122.508868 |             49.214
 45.592498 | -122.507608 | 46.977000000000004
 45.592033 | -122.506522 |             42.503
  45.59155 |  -122.50555 | 40.266000000000005
 45.591235 | -122.504808 | 29.081000000000003
 45.591145 | -122.504303 |             15.659
 45.591143 | -122.504105 |              4.474
 45.591187 | -122.503912 |                  0
  45.59145 | -122.503782 |             13.422
 45.591738 | -122.503837 |             13.422
 45.591938 | -122.503863 |              8.948
 45.592267 | -122.503853 |             15.659
 45.592707 | -122.503848 | 20.133000000000003
  45.59321 | -122.503852 |             24.607
 45.593697 | -122.503882 |              22.37
 45.594033 | -122.503907 |             15.659
 45.594127 | -122.503905 |              2.237
 45.594193 |  -122.50392 |              2.237
 45.594278 |  -122.50419 |              8.948
 45.594183 | -122.504533 |             11.185
 45.594135 | -122.504852 |              8.948
 45.594227 |  -122.50514 |              8.948
 45.594347 | -122.505423 |             11.185
 45.594475 | -122.505717 |             11.185
   45.5946 |  -122.50602 |             11.185
 45.594775 | -122.506227 |              8.948
  45.59493 | -122.506058 |              8.948
 45.594838 | -122.505782 |             11.185
 45.594687 | -122.505507 |             11.185
 45.594528 | -122.505247 |              8.948
 45.594367 | -122.504815 |              6.711
 45.594293 | -122.504622 |              6.711
 45.594215 |  -122.50428 |             11.185
 45.593995 | -122.504095 |             13.422
 45.593552 | -122.504105 |              22.37
  45.59298 | -122.504232 | 29.081000000000003
  45.59257 | -122.504932 |             31.318
 45.592652 | -122.505935 |             35.792
 45.592888 | -122.507025 | 40.266000000000005
 45.593142 |  -122.50826 |              44.74
  45.59347 |  -122.50961 |             49.214
 45.593827 | -122.511027 | 46.977000000000004
 45.594183 | -122.512442 | 55.925000000000004
 45.594545 | -122.513833 |             49.214
 45.594913 | -122.515205 |              44.74
 45.595285 | -122.516573 |             49.214
  45.59567 | -122.517978 |             51.451
 45.596073 | -122.519463 |             53.688
  45.59649 | -122.521007 | 55.925000000000004
 45.596918 | -122.522572 | 58.162000000000006
 45.597335 |  -122.52412 | 55.925000000000004
 45.597712 |  -122.52566 | 55.925000000000004
  45.59807 | -122.527192 | 55.925000000000004
 45.598437 |  -122.52873 | 55.925000000000004
 45.598813 |  -122.53031 | 55.925000000000004
 45.599193 | -122.531908 | 58.162000000000006
 45.599572 | -122.533492 | 55.925000000000004
 45.599947 | -122.535053 | 55.925000000000004
 45.600318 | -122.536628 | 55.925000000000004
  45.60069 | -122.538197 | 55.925000000000004
  45.60106 | -122.539747 | 55.925000000000004
  45.60146 |  -122.54127 | 55.925000000000004
 45.601867 | -122.542778 | 55.925000000000004
 45.602265 | -122.544272 |             53.688
 45.602625 | -122.545762 |             53.688
 45.602972 | -122.547233 |             53.688
 45.603317 | -122.548678 |             51.451
 45.603653 | -122.550087 |             51.451
  45.60399 | -122.551488 |             51.451
 45.604337 | -122.552807 | 46.977000000000004
 45.604685 | -122.553828 |             38.029
 45.605315 | -122.554187 |             33.555
 45.605838 | -122.553638 |             31.318
 45.605767 | -122.552712 |             33.555
 45.605152 | -122.552232 |             35.792
 45.604363 | -122.551958 | 40.266000000000005
  45.60345 | -122.551752 |              44.74
 45.602428 | -122.551538 |             49.214
 45.601327 | -122.551327 |             53.688
  45.60019 | -122.551132 | 55.925000000000004
 45.599075 | -122.550913 |             53.688
  45.59799 | -122.550638 |             53.688
 45.596937 | -122.550322 |             51.451
 45.595902 | -122.549952 |             51.451
 45.594857 |  -122.54953 |             53.688
   45.5938 | -122.549043 |             53.688
 45.592733 | -122.548492 | 55.925000000000004
  45.59166 |  -122.54788 | 55.925000000000004
 45.590573 | -122.547208 | 58.162000000000006
 45.589488 | -122.546538 | 55.925000000000004
 45.588408 | -122.545878 | 58.162000000000006
 45.578697 | -122.543893 | 58.162000000000006
 45.579863 | -122.543622 | 55.925000000000004
 45.581035 | -122.543482 | 58.162000000000006
 45.582205 | -122.543465 | 55.925000000000004
 45.583372 | -122.543565 | 55.925000000000004
  45.58454 | -122.543783 | 58.162000000000006
 45.585657 | -122.544123 | 55.925000000000004
 45.586733 | -122.544563 |             53.688
 45.587768 | -122.545093 |             53.688
 45.588773 | -122.545683 |             53.688
 45.589773 | -122.546288 |             53.688
 45.590767 | -122.546892 |             51.451
 45.591748 | -122.547493 |             51.451
 45.592733 | -122.548065 |             51.451
 45.593733 | -122.548593 |             51.451
 45.594745 | -122.549072 |             51.451
 45.595768 |  -122.54949 |             51.451
 45.596795 | -122.549867 |             51.451
  45.59782 | -122.550185 |             51.451
 45.598833 | -122.550453 |             49.214
