  longitude  | latitude  |       speed        
 -122.661533 | 45.630505 |              4.474
 -122.661248 | 45.630475 |              8.948
 -122.660835 | 45.630328 |             15.659
 -122.660247 | 45.630158 |              22.37
 -122.658697 | 45.629778 |             26.844
 -122.657847 | 45.629578 | 29.081000000000003
 -122.656968 |  45.62937 |             31.318
  -122.65608 | 45.629155 |             31.318
 -122.655215 | 45.628943 |             31.318
  -122.65437 | 45.628738 | 29.081000000000003
 -122.653598 | 45.628548 |             26.844
 -122.652905 | 45.628375 |             24.607
 -122.651375 | 45.628277 |             24.607
 -122.650548 |  45.62826 |             26.844
 -122.649722 | 45.628253 |             26.844
 -122.648933 | 45.628252 |             26.844
 -122.648197 | 45.628247 |             24.607
 -122.646702 | 45.628243 |             24.607
  -122.64593 |  45.62824 |             26.844
 -122.645155 |  45.62824 |             26.844
 -122.644367 |  45.62824 |             26.844
  -122.64355 | 45.628235 |             26.844
 -122.642712 | 45.628222 | 29.081000000000003
 -122.641902 | 45.628212 |             26.844
 -122.641242 | 45.628198 | 20.133000000000003
 -122.640932 | 45.628187 |              8.948
 -122.640823 | 45.628187 |                  0
 -122.640412 | 45.628185 |             13.422
 -122.639722 |  45.62818 |             24.607
 -122.638817 | 45.628168 |             31.318
 -122.637848 | 45.628153 |             33.555
 -122.636883 | 45.628138 |             33.555
   -122.6359 | 45.628118 |             33.555
 -122.634963 |  45.62799 |             31.318
 -122.634067 | 45.627803 |             31.318
   -122.6332 | 45.627627 | 29.081000000000003
 -122.632362 | 45.627467 | 29.081000000000003
 -122.631522 | 45.627372 | 29.081000000000003
   -122.6307 | 45.627405 |             26.844
 -122.629907 | 45.627567 |             26.844
 -122.629222 | 45.627768 |             24.607
 -122.628777 | 45.627913 |             15.659
 -122.628578 |  45.62798 |              4.474
  -122.62799 |   45.6282 |              2.237
  -122.62724 | 45.628392 |             26.844
 -122.626338 | 45.628462 |             31.318
 -122.625427 | 45.628503 |             31.318
 -122.624533 | 45.628547 | 29.081000000000003
  -122.62347 | 45.628578 | 29.081000000000003
 -122.622598 | 45.628592 | 29.081000000000003
  -122.62173 | 45.628607 | 29.081000000000003
  -122.62087 | 45.628613 | 29.081000000000003
 -122.620007 | 45.628618 | 29.081000000000003
 -122.619172 | 45.628628 |             24.607
 -122.618397 | 45.628637 |             26.844
 -122.617612 | 45.628635 |             26.844
   -122.6168 | 45.628637 |             26.844
 -122.615972 | 45.628642 |             26.844
 -122.615137 | 45.628648 | 29.081000000000003
 -122.614358 | 45.628653 |             24.607
 -122.613695 | 45.628657 |              22.37
 -122.612927 | 45.628615 |             26.844
  -122.61205 | 45.628505 | 29.081000000000003
 -122.611173 |  45.62837 | 29.081000000000003
 -122.610328 | 45.628235 | 29.081000000000003
 -122.609515 | 45.628107 |             26.844
 -122.608757 | 45.627985 |             26.844
 -122.607985 | 45.627862 |             26.844
 -122.607197 | 45.627737 |             26.844
 -122.606408 | 45.627613 |             26.844
 -122.605653 | 45.627488 |             33.555
 -122.604973 | 45.627378 |              22.37
 -122.604442 | 45.627268 |             17.896
 -122.603888 | 45.627165 | 20.133000000000003
 -122.603207 | 45.627037 |             24.607
  -122.60258 | 45.626912 |              22.37
 -122.602148 | 45.626822 |             13.422
 -122.601992 | 45.626787 |              4.474
  -122.60194 | 45.626777 |                  0
 -122.601587 | 45.626708 |             13.422
 -122.601037 |  45.62659 | 20.133000000000003
 -122.600542 |  45.62647 |             15.659
 -122.600257 | 45.626398 |              8.948
  -122.59999 | 45.626338 |                  0
 -122.599422 | 45.626223 | 20.133000000000003
 -122.598672 |  45.62606 |             26.844
 -122.597887 | 45.625883 |             26.844
 -122.597073 | 45.625697 | 29.081000000000003
 -122.596265 | 45.625515 | 29.081000000000003
 -122.595488 | 45.625335 |             26.844
 -122.593937 | 45.624982 |             26.844
 -122.593142 | 45.624803 |             26.844
 -122.592353 |  45.62463 |             26.844
 -122.591608 | 45.624465 |             26.844
  -122.59083 | 45.624293 |             26.844
